18
55
2
6
2
5
7
2
3
4
1 1 3
2 2 0
3 0 5
4 4 3
5 5 2
6 3 1
7 5 0
8 4 1
9 3 4
10 4 2
11 5 1
12 1 4
13 1 5
14 4 4
15 1 2
16 3 2
17 2 4
18 5 5
1 2 4 7
2 1 4 7
1 3 3 5
3 1 3 5
1 4 3 5
4 1 3 5
1 5 5 8
5 1 5 8
1 6 4 7
6 1 4 7
1 7 7 12
7 1 7 12
1 8 5 8
8 1 5 8
1 9 3 5
9 1 3 5
1 10 4 7
10 1 4 7
1 11 6 10
11 1 6 10
1 12 1 1
12 1 1 1
1 13 2 3
13 1 2 3
1 14 4 7
14 1 4 7
1 15 1 1
15 1 1 1
1 16 3 5
16 1 3 5
1 17 2 3
17 1 2 3
1 18 6 10
18 1 6 10
2 3 7 12
3 2 7 12
2 4 5 8
4 2 5 8
2 5 5 8
5 2 5 8
2 6 2 3
6 2 2 3
2 7 3 5
7 2 3 5
2 8 3 5
8 2 3 5
2 9 5 8
9 2 5 8
2 10 4 7
10 2 4 7
2 11 4 7
11 2 4 7
2 12 5 8
12 2 5 8
2 13 6 10
13 2 6 10
2 14 6 10
14 2 6 10
2 15 3 5
15 2 3 5
2 16 3 5
16 2 3 5
2 17 4 7
17 2 4 7
2 18 8 14
18 2 8 14
3 4 6 10
4 3 6 10
3 5 8 14
5 3 8 14
3 6 7 12
6 3 7 12
3 7 10 17
7 3 10 17
3 8 8 14
8 3 8 14
3 9 4 7
9 3 4 7
3 10 7 12
10 3 7 12
3 11 9 15
11 3 9 15
3 12 2 3
12 3 2 3
3 13 1 1
13 3 1 1
3 14 5 8
14 3 5 8
3 15 4 7
15 3 4 7
3 16 6 10
16 3 6 10
3 17 3 5
17 3 3 5
3 18 5 8
18 3 5 8
4 5 2 3
5 4 2 3
4 6 3 5
6 4 3 5
4 7 4 7
7 4 4 7
4 8 2 3
8 4 2 3
4 9 2 3
9 4 2 3
4 10 1 1
10 4 1 1
4 11 3 5
11 4 3 5
4 12 4 7
12 4 4 7
4 13 5 8
13 4 5 8
4 14 1 1
14 4 1 1
4 15 4 7
15 4 4 7
4 16 2 3
16 4 2 3
4 17 3 5
17 4 3 5
4 18 3 5
18 4 3 5
5 6 3 5
6 5 3 5
5 7 2 3
7 5 2 3
5 8 2 3
8 5 2 3
5 9 4 7
9 5 4 7
5 10 1 1
10 5 1 1
5 11 1 1
11 5 1 1
5 12 6 10
12 5 6 10
5 13 7 12
13 5 7 12
5 14 3 5
14 5 3 5
5 15 4 7
15 5 4 7
5 16 2 3
16 5 2 3
5 17 5 8
17 5 5 8
5 18 3 5
18 5 3 5
6 7 3 5
7 6 3 5
6 8 1 1
8 6 1 1
6 9 3 5
9 6 3 5
6 10 2 3
10 6 2 3
6 11 2 3
11 6 2 3
6 12 5 8
12 6 5 8
6 13 6 10
13 6 6 10
6 14 4 7
14 6 4 7
6 15 3 5
15 6 3 5
6 16 1 1
16 6 1 1
6 17 4 7
17 6 4 7
6 18 6 10
18 6 6 10
7 8 2 3
8 7 2 3
7 9 6 10
9 7 6 10
7 10 3 5
10 7 3 5
7 11 1 1
11 7 1 1
7 12 8 14
12 7 8 14
7 13 9 15
13 7 9 15
7 14 5 8
14 7 5 8
7 15 6 10
15 7 6 10
