Scenario,Strategy,ObjectiveValue,SolveTimeSeconds,SolutionStatus
actual,BalancedDefaults,37.0,0.3036,integer optimal solution
actual,FeasibilityFocus,37.0,0.0250,integer optimal solution
actual,OptimalityStrongBranch,37.0,0.0121,integer optimal solution
bici,BalancedDefaults,17.0,0.1996,integer optimal solution
bici,FeasibilityFocus,17.0,0.0281,integer optimal solution
bici,OptimalityStrongBranch,17.0,0.0088,integer optimal solution
entregas,BalancedDefaults,31.0,0.6412,integer optimal solution
entregas,FeasibilityFocus,31.0,0.0225,integer optimal solution
entregas,OptimalityStrongBranch,31.0,0.0163,integer optimal solution
si_o_si,BalancedDefaults,34.0,0.5575,integer optimal solution
si_o_si,FeasibilityFocus,34.0,0.0354,integer optimal solution
si_o_si,OptimalityStrongBranch,34.0,0.0154,integer optimal solution
