30
1
3
7
2
13
30
8
7
10
12
18
19
20
21
27
1 3 4
2 3 2
3 2 5
4 1 4
5 0 4
6 6 3
7 3 5
8 1 2
9 4 1
10 2 2
11 4 3
12 3 0
13 1 5
14 0 3
15 5 4
16 5 3
17 1 3
18 3 3
19 5 0
20 0 0
21 6 1
22 2 4
23 4 5
24 1 0
25 5 6
26 4 2
27 4 0
28 2 6
29 3 1
30 6 0
1 2 2 4
2 1 2 4
1 3 2 4
3 1 2 4
1 4 2 4
4 1 2 4
1 5 3 7
5 1 3 7
1 6 4 9
6 1 4 9
1 7 1 2
7 1 1 2
1 8 4 9
8 1 4 9
1 9 4 9
9 1 4 9
1 10 3 7
10 1 3 7
1 11 2 4
11 1 2 4
1 12 4 9
12 1 4 9
1 13 3 7
13 1 3 7
1 14 4 9
14 1 4 9
1 15 2 4
15 1 2 4
1 16 3 7
16 1 3 7
1 17 3 7
17 1 3 7
1 18 1 2
18 1 1 2
1 19 6 14
19 1 6 14
1 20 7 16
20 1 7 16
1 21 6 14
21 1 6 14
1 22 1 2
22 1 1 2
1 23 2 4
23 1 2 4
1 24 6 14
24 1 6 14
1 25 4 9
25 1 4 9
1 26 3 7
26 1 3 7
1 27 5 12
27 1 5 12
1 28 3 7
28 1 3 7
1 29 3 7
29 1 3 7
1 30 7 16
30 1 7 16
2 3 4 9
3 2 4 9
2 4 4 9
4 2 4 9
2 5 5 12
5 2 5 12
2 6 4 9
6 2 4 9
2 7 3 7
7 2 3 7
2 8 2 4
8 2 2 4
2 9 2 4
9 2 2 4
2 10 1 2
10 2 1 2
2 11 2 4
11 2 2 4
2 12 2 4
12 2 2 4
2 13 5 12
13 2 5 12
2 14 4 9
14 2 4 9
2 15 4 9
15 2 4 9
2 16 3 7
16 2 3 7
2 17 3 7
17 2 3 7
2 18 1 2
18 2 1 2
2 19 4 9
19 2 4 9
2 20 5 12
20 2 5 12
2 21 4 9
21 2 4 9
2 22 3 7
22 2 3 7
2 23 4 9
23 2 4 9
2 24 4 9
24 2 4 9
2 25 6 14
25 2 6 14
2 26 1 2
26 2 1 2
2 27 3 7
27 2 3 7
2 28 5 12
28 2 5 12
2 29 1 2
29 2 1 2
2 30 5 12
30 2 5 12
3 4 2 4
4 3 2 4
3 5 3 7
5 3 3 7
3 6 6 14
6 3 6 14
3 7 1 2
7 3 1 2
3 8 4 9
8 3 4 9
3 9 6 14
9 3 6 14
3 10 3 7
10 3 3 7
3 11 4 9
11 3 4 9
3 12 6 14
12 3 6 14
3 13 1 2
13 3 1 2
3 14 4 9
14 3 4 9
3 15 4 9
15 3 4 9
3 16 5 12
16 3 5 12
3 17 3 7
17 3 3 7
3 18 3 7
18 3 3 7
3 19 8 19
19 3 8 19
3 20 7 16
20 3 7 16
3 21 8 19
21 3 8 19
3 22 1 2
22 3 1 2
3 23 2 4
23 3 2 4
3 24 6 14
24 3 6 14
3 25 4 9
25 3 4 9
3 26 5 12
26 3 5 12
3 27 7 16
27 3 7 16
3 28 1 2
28 3 1 2
3 29 5 12
29 3 5 12
3 30 9 21
30 3 9 21
4 5 1 2
5 4 1 2
4 6 6 14
6 4 6 14
4 7 3 7
7 4 3 7
4 8 2 4
