15
55
2
5
0
1
12
1 3 1
2 2 2
3 1 4
4 4 0
5 3 4
6 1 1
7 1 0
8 2 0
9 3 0
10 4 2
11 2 1
12 3 3
13 0 1
14 2 4
15 4 3
1 2 2 3
2 1 2 3
1 3 5 9
3 1 5 9
1 4 2 3
4 1 2 3
1 5 3 5
5 1 3 5
1 6 2 3
6 1 2 3
1 7 3 5
7 1 3 5
1 8 2 3
8 1 2 3
1 9 1 1
9 1 1 1
1 10 2 3
10 1 2 3
1 11 1 1
11 1 1 1
1 12 2 3
12 1 2 3
1 13 3 5
13 1 3 5
1 14 4 7
14 1 4 7
1 15 3 5
15 1 3 5
2 3 3 5
3 2 3 5
2 4 4 7
4 2 4 7
2 5 3 5
5 2 3 5
2 6 2 3
6 2 2 3
2 7 3 5
7 2 3 5
2 8 2 3
8 2 2 3
2 9 3 5
9 2 3 5
2 10 2 3
10 2 2 3
2 11 1 1
11 2 1 1
2 12 2 3
12 2 2 3
2 13 3 5
13 2 3 5
2 14 2 3
14 2 2 3
2 15 3 5
15 2 3 5
3 4 7 12
4 3 7 12
3 5 2 3
5 3 2 3
3 6 3 5
6 3 3 5
3 7 4 7
7 3 4 7
3 8 5 9
8 3 5 9
3 9 6 11
9 3 6 11
3 10 5 9
10 3 5 9
3 11 4 7
11 3 4 7
3 12 3 5
12 3 3 5
3 13 4 7
13 3 4 7
3 14 1 1
14 3 1 1
3 15 4 7
15 3 4 7
4 5 5 9
5 4 5 9
4 6 4 7
6 4 4 7
4 7 3 5
7 4 3 5
4 8 2 3
8 4 2 3
4 9 1 1
9 4 1 1
4 10 2 3
10 4 2 3
4 11 3 5
11 4 3 5
4 12 4 7
12 4 4 7
4 13 5 9
13 4 5 9
4 14 6 11
14 4 6 11
4 15 3 5
15 4 3 5
5 6 5 9
6 5 5 9
5 7 6 11
7 5 6 11
5 8 5 9
8 5 5 9
5 9 4 7
9 5 4 7
5 10 3 5
10 5 3 5
5 11 4 7
11 5 4 7
5 12 1 1
12 5 1 1
5 13 6 11
13 5 6 11
5 14 1 1
14 5 1 1
5 15 2 3
15 5 2 3
6 7 1 1
7 6 1 1
6 8 2 3
8 6 2 3
6 9 3 5
9 6 3 5
6 10 4 7
10 6 4 7
6 11 1 1
11 6 1 1
6 12 4 7
12 6 4 7
6 13 1 1
13 6 1 1
6 14 4 7
14 6 4 7
6 15 5 9
15 6 5 9
7 8 1 1
8 7 1 1
7 9 2 3
9 7 2 3
7 10 5 9
10 7 5 9
7 11 2 3
11 7 2 3
7 12 5 9
12 7 5 9
7 13 2 3
13 7 2 3
7 14 5 9
14 7 5 9
7 15 6 11
15 7 6 11
8 9 1 1
9 8 1 1
8 10 4 7
10 8 4 7
8 11 1 1
11 8 1 1
8 12 4 7
12 8 4 7
8 13 3 5
13 8 3 5
8 14 4 7
14 8 4 7
8 15 5 9
15 8 5 9
9 10 3 5
10 9 3 5
9 11 2 3
11 9 2 3
9 12 3 5
12 9 3 5
9 13 4 7
13 9 4 7
9 14 5 9
14 9 5 9
9 15 4 7
15 9 4 7
10 11 3 5
11 10 3 5
10 12 2 3
12 10 2 3
10 13 5 9
13 10 5 9
10 14 4 7
14 10 4 7
10 15 1 1
15 10 1 1
11 12 3 5
12 11 3 5
11 13 2 3
13 11 2 3
11 14 3 5
14 11 3 5
11 15 4 7
15 11 4 7
12 13 5 9
13 12 5 9
12 14 2 3
14 12 2 3
12 15 1 1
15 12 1 1
13 14 5 9
14 13 5 9
13 15 6 11
15 13 6 11
14 15 3 5
15 14 3 5
0 1 2 3
1 0 2 3
0 2 1 1
2 0 1 1
0 3 3 5
3 0 3 5
0 4 4 7
4 0 4 7
0 5 2 3
5 0 2 3
0 6 3 5
6 0 3 5
0 7 4 7
7 0 4 7
0 8 3 5
8 0 3 5
0 9 3 5
9 0 3 5
0 10 2 3
10 0 2 3
0 11 2 3
11 0 2 3
0 12 1 1
12 0 1 1
0 13 4 7
13 0 4 7
0 14 2 3
14 0 2 3
0 15 2 3
15 0 2 3
